EncuestaID,RangoEdad,Genero,Departamento,FrecuenciaConsumoSnacks,SaborPreferido,Snack
25,45 - 54 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Limón,Futbolmix
25,45 - 54 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Limón,Mundialitos Queso Picante
26,18 - 24 Años,Femenino,Petén,1 A 2 Veces Por Semana,Picante Chapín,Chocokick Bites
26,18 - 24 Años,Femenino,Petén,1 A 2 Veces Por Semana,Picante Chapín,Futbolmix
27,25 - 34 Años,Femenino,Chimaltenango,Todos Los Días,Chocolate,Chocokick Bites
28,25 - 34 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Salado Tradicional,Energy Crunch Protein
29,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Barbacoa,Gol Nachos Supreme
30,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Dulce,Futbolmix
30,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Dulce,Mundialitos Queso Picante
31,25 - 34 Años,Femenino,Sacatepéquez,Todos Los Días,Picante Chapín,Fan Chips Jalapeño
31,25 - 34 Años,Femenino,Sacatepéquez,Todos Los Días,Picante Chapín,Crunchmax Bbq
32,18 - 24 Años,Masculino,Escuintla,1 A 2 Veces Por Semana,Limón,Victory Pretzels
32,18 - 24 Años,Masculino,Escuintla,1 A 2 Veces Por Semana,Limón,Fan Chips Jalapeño
32,18 - 24 Años,Masculino,Escuintla,1 A 2 Veces Por Semana,Limón,Gol Nachos Supreme
33,18 - 24 Años,Femenino,Escuintla,Todos Los Días,Jalapeño,Mundialitos Queso Picante
33,18 - 24 Años,Femenino,Escuintla,Todos Los Días,Jalapeño,Crunchmax Bbq
33,18 - 24 Años,Femenino,Escuintla,Todos Los Días,Jalapeño,Caramel Goal Popcorn
34,25 - 34 Años,Femenino,Chimaltenango,Varias Veces Al Mes,Barbacoa,Crunchmax Bbq
35,Menos De 18 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Fan Chips Jalapeño
36,25 - 34 Años,Masculino,El Progreso,Todos Los Días,Jalapeño,Caramel Goal Popcorn
36,25 - 34 Años,Masculino,El Progreso,Todos Los Días,Jalapeño,Chocokick Bites
37,18 - 24 Años,Femenino,Quiché,3 A 5 Veces Por Semana,,Chocokick Bites
37,18 - 24 Años,Femenino,Quiché,3 A 5 Veces Por Semana,,Mundialitos Queso Picante
37,18 - 24 Años,Femenino,Quiché,3 A 5 Veces Por Semana,,Fan Chips Jalapeño
38,25 - 34 Años,Femenino,Guatemala,Rara Vez,Jalapeño,Futbolmix
38,25 - 34 Años,Femenino,Guatemala,Rara Vez,Jalapeño,Energy Crunch Protein
39,Menos De 18 Años,Masculino,Chiquimula,Todos Los Días,Limón,Chocokick Bites
39,Menos De 18 Años,Masculino,Chiquimula,Todos Los Días,Limón,Caramel Goal Popcorn
39,Menos De 18 Años,Masculino,Chiquimula,Todos Los Días,Limón,Futbolmix
40,45 - 54 Años,Femenino,Quiché,3 A 5 Veces Por Semana,Limón,Fan Chips Jalapeño
40,45 - 54 Años,Femenino,Quiché,3 A 5 Veces Por Semana,Limón,Chocokick Bites
40,45 - 54 Años,Femenino,Quiché,3 A 5 Veces Por Semana,Limón,Futbolmix
41,18 - 24 Años,Femenino,Quetzaltenango,3 A 5 Veces Por Semana,Limón,Mundialitos Queso Picante
42,18 - 24 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Queso,Hot Stadium Peanuts
42,18 - 24 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Queso,Caramel Goal Popcorn
43,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Salado Tradicional,Energy Crunch Protein
44,45 - 54 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Caramelo,Energy Crunch Protein
45,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Crunchmax Bbq
45,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
45,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Caramel Goal Popcorn
46,45 - 54 Años,Masculino,Quetzaltenango,3 A 5 Veces Por Semana,Picante Chapín,Hot Stadium Peanuts
46,45 - 54 Años,Masculino,Quetzaltenango,3 A 5 Veces Por Semana,Picante Chapín,Fan Chips Jalapeño
46,45 - 54 Años,Masculino,Quetzaltenango,3 A 5 Veces Por Semana,Picante Chapín,Futbolmix
47,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Fan Chips Jalapeño
47,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Gol Nachos Supreme
48,35 - 44 Años,Masculino,Chimaltenango,Todos Los Días,Queso,Crunchmax Bbq
49,45 - 54 Años,Femenino,Totonicapán,Todos Los Días,Queso,Crunchmax Bbq
50,Menos De 18 Años,Prefiero No Indicarlo,Escuintla,Todos Los Días,Dulce,Chocokick Bites
50,Menos De 18 Años,Prefiero No Indicarlo,Escuintla,Todos Los Días,Dulce,Fan Chips Jalapeño
51,18 - 24 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
51,18 - 24 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Picante Chapín,Fan Chips Jalapeño
51,18 - 24 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Picante Chapín,Gol Nachos Supreme
52,35 - 44 Años,Masculino,Sololá,Rara Vez,Salado Tradicional,Futbolmix
53,25 - 34 Años,Masculino,Sololá,Varias Veces Al Mes,Queso,Futbolmix
53,25 - 34 Años,Masculino,Sololá,Varias Veces Al Mes,Queso,Crunchmax Bbq
53,25 - 34 Años,Masculino,Sololá,Varias Veces Al Mes,Queso,Gol Nachos Supreme
54,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Queso,Crunchmax Bbq
54,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Queso,Gol Nachos Supreme
55,25 - 34 Años,Femenino,Quetzaltenango,Rara Vez,Queso,Victory Pretzels
56,18 - 24 Años,Masculino,Escuintla,3 A 5 Veces Por Semana,Caramelo,Mundialitos Queso Picante
57,55 Años O Más,Femenino,Guatemala,Varias Veces Al Mes,Queso,Chocokick Bites
57,55 Años O Más,Femenino,Guatemala,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
57,55 Años O Más,Femenino,Guatemala,Varias Veces Al Mes,Queso,Gol Nachos Supreme
58,25 - 34 Años,Masculino,Quetzaltenango,Varias Veces Al Mes,Picante Chapín,Crunchmax Bbq
58,25 - 34 Años,Masculino,Quetzaltenango,Varias Veces Al Mes,Picante Chapín,Chocokick Bites
58,25 - 34 Años,Masculino,Quetzaltenango,Varias Veces Al Mes,Picante Chapín,Gol Nachos Supreme
59,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Jalapeño,Hot Stadium Peanuts
60,45 - 54 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Picante Chapín,Crunchmax Bbq
61,55 Años O Más,Femenino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Crunchmax Bbq
62,55 Años O Más,Masculino,Escuintla,3 A 5 Veces Por Semana,Barbacoa,Hot Stadium Peanuts
63,18 - 24 Años,Femenino,Santa Rosa,Todos Los Días,Picante Chapín,Victory Pretzels
63,18 - 24 Años,Femenino,Santa Rosa,Todos Los Días,Picante Chapín,Chocokick Bites
64,25 - 34 Años,Masculino,San Marcos,3 A 5 Veces Por Semana,Barbacoa,Gol Nachos Supreme
64,25 - 34 Años,Masculino,San Marcos,3 A 5 Veces Por Semana,Barbacoa,Futbolmix
64,25 - 34 Años,Masculino,San Marcos,3 A 5 Veces Por Semana,Barbacoa,Crunchmax Bbq
65,Menos De 18 Años,Femenino,El Progreso,Varias Veces Al Mes,Salado Tradicional,Mundialitos Queso Picante
65,Menos De 18 Años,Femenino,El Progreso,Varias Veces Al Mes,Salado Tradicional,Chocokick Bites
66,25 - 34 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Limón,Gol Nachos Supreme
67,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Salado Tradicional,Mundialitos Queso Picante
67,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Salado Tradicional,Victory Pretzels
67,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Salado Tradicional,Futbolmix
68,Menos De 18 Años,Femenino,Escuintla,Varias Veces Al Mes,Caramelo,Chocokick Bites
68,Menos De 18 Años,Femenino,Escuintla,Varias Veces Al Mes,Caramelo,Gol Nachos Supreme
69,18 - 24 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Futbolmix
70,45 - 54 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Futbolmix
70,45 - 54 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Fan Chips Jalapeño
71,45 - 54 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Limón,Futbolmix
72,45 - 54 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Chocokick Bites
72,45 - 54 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Victory Pretzels
73,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Limón,Chocokick Bites
73,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Limón,Hot Stadium Peanuts
74,18 - 24 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Salado Tradicional,Fan Chips Jalapeño
75,25 - 34 Años,Masculino,Quetzaltenango,Todos Los Días,Caramelo,Caramel Goal Popcorn
75,25 - 34 Años,Masculino,Quetzaltenango,Todos Los Días,Caramelo,Futbolmix
75,25 - 34 Años,Masculino,Quetzaltenango,Todos Los Días,Caramelo,Mundialitos Queso Picante
76,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Crunchmax Bbq
77,25 - 34 Años,Masculino,Retalhuleu,Varias Veces Al Mes,Caramelo,Caramel Goal Popcorn
77,25 - 34 Años,Masculino,Retalhuleu,Varias Veces Al Mes,Caramelo,Crunchmax Bbq
77,25 - 34 Años,Masculino,Retalhuleu,Varias Veces Al Mes,Caramelo,Chocokick Bites
78,45 - 54 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Picante Chapín,Crunchmax Bbq
78,45 - 54 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
79,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Caramel Goal Popcorn
80,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Gol Nachos Supreme
80,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Crunchmax Bbq
81,25 - 34 Años,Masculino,Retalhuleu,1 A 2 Veces Por Semana,Caramelo,Futbolmix
81,25 - 34 Años,Masculino,Retalhuleu,1 A 2 Veces Por Semana,Caramelo,Fan Chips Jalapeño
82,45 - 54 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Jalapeño,Caramel Goal Popcorn
82,45 - 54 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Jalapeño,Gol Nachos Supreme
83,25 - 34 Años,Femenino,Quetzaltenango,Varias Veces Al Mes,Limón,Gol Nachos Supreme
83,25 - 34 Años,Femenino,Quetzaltenango,Varias Veces Al Mes,Limón,Crunchmax Bbq
83,25 - 34 Años,Femenino,Quetzaltenango,Varias Veces Al Mes,Limón,Futbolmix
84,25 - 34 Años,Femenino,Guatemala,Rara Vez,Barbacoa,Victory Pretzels
84,25 - 34 Años,Femenino,Guatemala,Rara Vez,Barbacoa,Mundialitos Queso Picante
84,25 - 34 Años,Femenino,Guatemala,Rara Vez,Barbacoa,Crunchmax Bbq
85,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
85,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Fan Chips Jalapeño
85,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Futbolmix
86,Menos De 18 Años,Femenino,Quetzaltenango,Varias Veces Al Mes,Picante Chapín,Gol Nachos Supreme
86,Menos De 18 Años,Femenino,Quetzaltenango,Varias Veces Al Mes,Picante Chapín,Hot Stadium Peanuts
87,55 Años O Más,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Chocokick Bites
87,55 Años O Más,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Fan Chips Jalapeño
87,55 Años O Más,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Crunchmax Bbq
88,35 - 44 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Jalapeño,Crunchmax Bbq
88,35 - 44 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Jalapeño,Fan Chips Jalapeño
89,Menos De 18 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Limón,Crunchmax Bbq
89,Menos De 18 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Limón,Fan Chips Jalapeño
90,55 Años O Más,Femenino,Guatemala,Todos Los Días,Queso,Caramel Goal Popcorn
90,55 Años O Más,Femenino,Guatemala,Todos Los Días,Queso,Fan Chips Jalapeño
90,55 Años O Más,Femenino,Guatemala,Todos Los Días,Queso,Hot Stadium Peanuts
91,18 - 24 Años,Femenino,Petén,3 A 5 Veces Por Semana,Limón,Victory Pretzels
91,18 - 24 Años,Femenino,Petén,3 A 5 Veces Por Semana,Limón,Fan Chips Jalapeño
92,18 - 24 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Queso,Crunchmax Bbq
93,45 - 54 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Victory Pretzels
93,45 - 54 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Gol Nachos Supreme
93,45 - 54 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Caramel Goal Popcorn
94,35 - 44 Años,Femenino,Guatemala,Todos Los Días,Chocolate,Fan Chips Jalapeño
95,25 - 34 Años,Masculino,Guatemala,Varias Veces Al Mes,Limón,Fan Chips Jalapeño
95,25 - 34 Años,Masculino,Guatemala,Varias Veces Al Mes,Limón,Crunchmax Bbq
96,45 - 54 Años,Masculino,Alta Verapaz,Varias Veces Al Mes,Jalapeño,Energy Crunch Protein
97,25 - 34 Años,Masculino,El Progreso,Todos Los Días,Picante Chapín,Victory Pretzels
97,25 - 34 Años,Masculino,El Progreso,Todos Los Días,Picante Chapín,Crunchmax Bbq
97,25 - 34 Años,Masculino,El Progreso,Todos Los Días,Picante Chapín,Caramel Goal Popcorn
98,35 - 44 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Limón,Gol Nachos Supreme
98,35 - 44 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Limón,Mundialitos Queso Picante
99,25 - 34 Años,Femenino,Totonicapán,3 A 5 Veces Por Semana,Picante Chapín,Futbolmix
100,55 Años O Más,Masculino,Escuintla,3 A 5 Veces Por Semana,Barbacoa,Mundialitos Queso Picante
101,18 - 24 Años,Masculino,Escuintla,Varias Veces Al Mes,Limón,Victory Pretzels
101,18 - 24 Años,Masculino,Escuintla,Varias Veces Al Mes,Limón,Mundialitos Queso Picante
101,18 - 24 Años,Masculino,Escuintla,Varias Veces Al Mes,Limón,Fan Chips Jalapeño
102,35 - 44 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Dulce,Futbolmix
102,35 - 44 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Dulce,Fan Chips Jalapeño
103,55 Años O Más,Femenino,Alta Verapaz,Todos Los Días,,Fan Chips Jalapeño
104,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Caramel Goal Popcorn
105,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Limón,Chocokick Bites
105,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Limón,Caramel Goal Popcorn
105,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Limón,Crunchmax Bbq
106,35 - 44 Años,Masculino,El Progreso,3 A 5 Veces Por Semana,Barbacoa,Crunchmax Bbq
107,35 - 44 Años,Femenino,Guatemala,Todos Los Días,Queso,Energy Crunch Protein
108,18 - 24 Años,Femenino,Sacatepéquez,1 A 2 Veces Por Semana,Barbacoa,Gol Nachos Supreme
109,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Gol Nachos Supreme
109,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Chocokick Bites
109,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
110,25 - 34 Años,Femenino,Escuintla,Todos Los Días,Barbacoa,Hot Stadium Peanuts
110,25 - 34 Años,Femenino,Escuintla,Todos Los Días,Barbacoa,Fan Chips Jalapeño
110,25 - 34 Años,Femenino,Escuintla,Todos Los Días,Barbacoa,Victory Pretzels
111,Menos De 18 Años,Masculino,Escuintla,Varias Veces Al Mes,Barbacoa,Chocokick Bites
111,Menos De 18 Años,Masculino,Escuintla,Varias Veces Al Mes,Barbacoa,Crunchmax Bbq
111,Menos De 18 Años,Masculino,Escuintla,Varias Veces Al Mes,Barbacoa,Hot Stadium Peanuts
112,25 - 34 Años,Masculino,Alta Verapaz,Todos Los Días,Salado Tradicional,Fan Chips Jalapeño
113,45 - 54 Años,Femenino,Sololá,Todos Los Días,Queso,Gol Nachos Supreme
114,18 - 24 Años,Masculino,Izabal,3 A 5 Veces Por Semana,Salado Tradicional,Caramel Goal Popcorn
114,18 - 24 Años,Masculino,Izabal,3 A 5 Veces Por Semana,Salado Tradicional,Mundialitos Queso Picante
114,18 - 24 Años,Masculino,Izabal,3 A 5 Veces Por Semana,Salado Tradicional,Crunchmax Bbq
115,35 - 44 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Chocolate,Gol Nachos Supreme
115,35 - 44 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Chocolate,Futbolmix
116,18 - 24 Años,Femenino,El Progreso,Varias Veces Al Mes,Dulce,Gol Nachos Supreme
116,18 - 24 Años,Femenino,El Progreso,Varias Veces Al Mes,Dulce,Crunchmax Bbq
116,18 - 24 Años,Femenino,El Progreso,Varias Veces Al Mes,Dulce,Chocokick Bites
117,25 - 34 Años,Femenino,Zacapa,Varias Veces Al Mes,Picante Chapín,Mundialitos Queso Picante
117,25 - 34 Años,Femenino,Zacapa,Varias Veces Al Mes,Picante Chapín,Fan Chips Jalapeño
117,25 - 34 Años,Femenino,Zacapa,Varias Veces Al Mes,Picante Chapín,Crunchmax Bbq
118,Menos De 18 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Barbacoa,Futbolmix
119,18 - 24 Años,Femenino,Guate,Todos Los Días,Queso,Mundialitos Queso Picante
119,18 - 24 Años,Femenino,Guate,Todos Los Días,Queso,Futbolmix
120,18 - 24 Años,Masculino,Guatemala,Varias Veces Al Mes,Jalapeño,Chocokick Bites
120,18 - 24 Años,Masculino,Guatemala,Varias Veces Al Mes,Jalapeño,Futbolmix
120,18 - 24 Años,Masculino,Guatemala,Varias Veces Al Mes,Jalapeño,Mundialitos Queso Picante
121,18 - 24 Años,Femenino,Chiquimula,Todos Los Días,Salado Tradicional,Crunchmax Bbq
122,25 - 34 Años,Masculino,Huehuetenango,Todos Los Días,Salado Tradicional,Fan Chips Jalapeño
122,25 - 34 Años,Masculino,Huehuetenango,Todos Los Días,Salado Tradicional,Victory Pretzels
123,25 - 34 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Chocolate,Mundialitos Queso Picante
123,25 - 34 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Chocolate,Gol Nachos Supreme
124,Menos De 18 Años,Prefiero No Indicarlo,Sacatepéquez,Varias Veces Al Mes,Queso,Fan Chips Jalapeño
124,Menos De 18 Años,Prefiero No Indicarlo,Sacatepéquez,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
124,Menos De 18 Años,Prefiero No Indicarlo,Sacatepéquez,Varias Veces Al Mes,Queso,Victory Pretzels
125,45 - 54 Años,Masculino,Guatemala,Varias Veces Al Mes,Queso,Fan Chips Jalapeño
126,25 - 34 Años,Masculino,Chimaltenango,1 A 2 Veces Por Semana,Chocolate,Caramel Goal Popcorn
127,25 - 34 Años,Masculino,Escuintla,3 A 5 Veces Por Semana,Salado Tradicional,Futbolmix
127,25 - 34 Años,Masculino,Escuintla,3 A 5 Veces Por Semana,Salado Tradicional,Victory Pretzels
127,25 - 34 Años,Masculino,Escuintla,3 A 5 Veces Por Semana,Salado Tradicional,Fan Chips Jalapeño
128,35 - 44 Años,Femenino,Guatemala,Varias Veces Al Mes,Caramelo,Crunchmax Bbq
128,35 - 44 Años,Femenino,Guatemala,Varias Veces Al Mes,Caramelo,Futbolmix
128,35 - 44 Años,Femenino,Guatemala,Varias Veces Al Mes,Caramelo,Gol Nachos Supreme
129,45 - 54 Años,Femenino,Petén,Varias Veces Al Mes,Limón,Victory Pretzels
129,45 - 54 Años,Femenino,Petén,Varias Veces Al Mes,Limón,Crunchmax Bbq
129,45 - 54 Años,Femenino,Petén,Varias Veces Al Mes,Limón,Mundialitos Queso Picante
130,18 - 24 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Limón,Caramel Goal Popcorn
131,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
132,18 - 24 Años,Masculino,Retalhuleu,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
132,18 - 24 Años,Masculino,Retalhuleu,Varias Veces Al Mes,Queso,Caramel Goal Popcorn
132,18 - 24 Años,Masculino,Retalhuleu,Varias Veces Al Mes,Queso,Gol Nachos Supreme
133,25 - 34 Años,Masculino,Sololá,3 A 5 Veces Por Semana,Caramelo,Crunchmax Bbq
133,25 - 34 Años,Masculino,Sololá,3 A 5 Veces Por Semana,Caramelo,Mundialitos Queso Picante
133,25 - 34 Años,Masculino,Sololá,3 A 5 Veces Por Semana,Caramelo,Fan Chips Jalapeño
134,18 - 24 Años,Masculino,Escuintla,1 A 2 Veces Por Semana,Jalapeño,Gol Nachos Supreme
