EncuestaID,RangoEdad,Genero,Departamento,SeleccionApoya,Jugador
22,25 - 34 Años,Masculino,Jalapa,Irán,Lionel Messi
22,25 - 34 Años,Masculino,Jalapa,Irán,Cristiano Ronaldo
22,25 - 34 Años,Masculino,Jalapa,Irán,Neymar Jr.
23,25 - 34 Años,Masculino,Guatemala,Estados Unidos,Vinícius Júnior
23,25 - 34 Años,Masculino,Guatemala,Estados Unidos,Lionel Messi
23,25 - 34 Años,Masculino,Guatemala,Estados Unidos,Christian Pulisic
24,18 - 24 Años,Femenino,Guatemala,Brasil,Neymar Jr.
24,18 - 24 Años,Femenino,Guatemala,Brasil,Vinícius Júnior
25,45 - 54 Años,Femenino,Guatemala,Portugal,Lionel Messi
26,18 - 24 Años,Femenino,Petén,España,Lamine Yamal
26,18 - 24 Años,Femenino,Petén,España,Kylian Mbappé
27,25 - 34 Años,Femenino,Chimaltenango,Brasil,Kylian Mbappé
28,25 - 34 Años,Femenino,Chimaltenango,México,Lionel Messi
28,25 - 34 Años,Femenino,Chimaltenango,México,Jude Bellingham
29,25 - 34 Años,Masculino,Guatemala,España,Ninguno
30,25 - 34 Años,Masculino,Guatemala,Brasil,Ninguno
30,25 - 34 Años,Masculino,Guatemala,Brasil,Lionel Messi
30,25 - 34 Años,Masculino,Guatemala,Brasil,Jude Bellingham
31,25 - 34 Años,Femenino,Sacatepéquez,Corea del Sur,Rodri
32,18 - 24 Años,Masculino,Escuintla, ESTADOS UNIDOS ,Cristiano Ronaldo
32,18 - 24 Años,Masculino,Escuintla, ESTADOS UNIDOS ,Vinícius Júnior
32,18 - 24 Años,Masculino,Escuintla, ESTADOS UNIDOS ,Alphonso Davies
33,18 - 24 Años,Femenino,Escuintla, FRANCIA ,Harry Kane
33,18 - 24 Años,Femenino,Escuintla, FRANCIA ,Rodri
34,25 - 34 Años,Femenino,Chimaltenango,Noruega,Lionel Messi
35,Menos De 18 Años,Masculino,Guatemala,Brasil,Christian Pulisic
36,25 - 34 Años,Masculino,El Progreso,Argentina,Lamine Yamal
37,18 - 24 Años,Femenino,Quiché,Portugal,Federico Valverde
38,25 - 34 Años,Femenino,Guatemala,España,Lionel Messi
38,25 - 34 Años,Femenino,Guatemala,España,Jude Bellingham
38,25 - 34 Años,Femenino,Guatemala,España,Vinícius Júnior
39,Menos De 18 Años,Masculino,Chiquimula,Argentina,Ninguno
40,45 - 54 Años,Femenino,Quiché,Argentina,Jude Bellingham
41,18 - 24 Años,Femenino,Quetzaltenango,Francia,Cristiano Ronaldo
41,18 - 24 Años,Femenino,Quetzaltenango,Francia,Vinícius Júnior
41,18 - 24 Años,Femenino,Quetzaltenango,Francia,Rodri
42,18 - 24 Años,Femenino,Escuintla,Argentina,Neymar Jr.
42,18 - 24 Años,Femenino,Escuintla,Argentina,Julián Álvarez
43,18 - 24 Años,Femenino,Guatemala,Estados Unidos,Lamine Yamal
43,18 - 24 Años,Femenino,Guatemala,Estados Unidos,Kylian Mbappé
44,45 - 54 Años,Masculino,Guatemala,Francia,Neymar Jr.
44,45 - 54 Años,Masculino,Guatemala,Francia,Jude Bellingham
45,25 - 34 Años,Femenino,Guatemala,Brasil,Vinícius Júnior
46,45 - 54 Años,Masculino,Quetzaltenango,Portugal,Rodri
46,45 - 54 Años,Masculino,Quetzaltenango,Portugal,Jude Bellingham
47,35 - 44 Años,Masculino,Guatemala,Argentina,Ninguno
47,35 - 44 Años,Masculino,Guatemala,Argentina,Lionel Messi
47,35 - 44 Años,Masculino,Guatemala,Argentina,Vinícius Júnior
48,35 - 44 Años,Masculino,Chimaltenango, ARGENTINA ,Lionel Messi
49,45 - 54 Años,Femenino,Totonicapán,Argentina,Neymar Jr.
50,Menos De 18 Años,Prefiero No Indicarlo,Escuintla,Francia,Cristiano Ronaldo
51,18 - 24 Años,Femenino,Chimaltenango,Estados Unidos,Lionel Messi
51,18 - 24 Años,Femenino,Chimaltenango,Estados Unidos,Christian Pulisic
51,18 - 24 Años,Femenino,Chimaltenango,Estados Unidos,Neymar Jr.
52,35 - 44 Años,Masculino,Sololá,Portugal,Lionel Messi
52,35 - 44 Años,Masculino,Sololá,Portugal,Cristiano Ronaldo
53,25 - 34 Años,Masculino,Sololá,Argentina,Neymar Jr.
53,25 - 34 Años,Masculino,Sololá,Argentina,Jude Bellingham
53,25 - 34 Años,Masculino,Sololá,Argentina,Lamine Yamal
54,18 - 24 Años,Femenino,Guatemala,Francia,Kylian Mbappé
55,25 - 34 Años,Femenino,Quetzaltenango,México,Federico Valverde
55,25 - 34 Años,Femenino,Quetzaltenango,México,Vinícius Júnior
55,25 - 34 Años,Femenino,Quetzaltenango,México,Ninguno
56,18 - 24 Años,Masculino,Escuintla,Brasil,Lionel Messi
56,18 - 24 Años,Masculino,Escuintla,Brasil,Neymar Jr.
56,18 - 24 Años,Masculino,Escuintla,Brasil,Vinícius Júnior
57,55 Años O Más,Femenino,Guatemala,Estados Unidos,Neymar Jr.
57,55 Años O Más,Femenino,Guatemala,Estados Unidos,Federico Valverde
58,25 - 34 Años,Masculino,Quetzaltenango,Uruguay,Neymar Jr.
58,25 - 34 Años,Masculino,Quetzaltenango,Uruguay,Harry Kane
58,25 - 34 Años,Masculino,Quetzaltenango,Uruguay,Lamine Yamal
59,18 - 24 Años,Femenino,Guatemala,Inglaterra,Kylian Mbappé
59,18 - 24 Años,Femenino,Guatemala,Inglaterra,Neymar Jr.
60,45 - 54 Años,Masculino,Guatemala,Argentina,Federico Valverde
61,55 Años O Más,Femenino,Guatemala,Brasil,Julián Álvarez
61,55 Años O Más,Femenino,Guatemala,Brasil,Neymar Jr.
62,55 Años O Más,Masculino,Escuintla,Inglaterra,Rodri
62,55 Años O Más,Masculino,Escuintla,Inglaterra,Cristiano Ronaldo
63,18 - 24 Años,Femenino,Santa Rosa,Brasil,Julián Álvarez
63,18 - 24 Años,Femenino,Santa Rosa,Brasil,Cristiano Ronaldo
64,25 - 34 Años,Masculino,San Marcos,Austria,Lionel Messi
64,25 - 34 Años,Masculino,San Marcos,Austria,Jude Bellingham
64,25 - 34 Años,Masculino,San Marcos,Austria,Cristiano Ronaldo
65,Menos De 18 Años,Femenino,El Progreso,Argentina,Neymar Jr.
66,25 - 34 Años,Femenino,Guatemala,Estados Unidos,Julián Álvarez
66,25 - 34 Años,Femenino,Guatemala,Estados Unidos,Cristiano Ronaldo
67,25 - 34 Años,Femenino,Guatemala,Türkiye,Lionel Messi
67,25 - 34 Años,Femenino,Guatemala,Türkiye,Vinícius Júnior
68,Menos De 18 Años,Femenino,Escuintla,México,Lionel Messi
68,Menos De 18 Años,Femenino,Escuintla,México,Kylian Mbappé
69,18 - 24 Años,Masculino,Guatemala,España,Neymar Jr.
69,18 - 24 Años,Masculino,Guatemala,España,Lionel Messi
70,45 - 54 Años,Masculino,Guatemala,Japón,Kylian Mbappé
70,45 - 54 Años,Masculino,Guatemala,Japón,Christian Pulisic
71,45 - 54 Años,Femenino,Escuintla,Argentina,Neymar Jr.
71,45 - 54 Años,Femenino,Escuintla,Argentina,Kylian Mbappé
72,45 - 54 Años,Femenino,Guatemala,Inglaterra,Lionel Messi
72,45 - 54 Años,Femenino,Guatemala,Inglaterra,Lamine Yamal
72,45 - 54 Años,Femenino,Guatemala,Inglaterra,Harry Kane
73,18 - 24 Años,Femenino,Guatemala,Brasil,Lionel Messi
73,18 - 24 Años,Femenino,Guatemala,Brasil,Ninguno
74,18 - 24 Años,Femenino,Guatemala,Noruega,Vinícius Júnior
75,25 - 34 Años,Masculino,Quetzaltenango, BRASIL ,Kylian Mbappé
75,25 - 34 Años,Masculino,Quetzaltenango, BRASIL ,Cristiano Ronaldo
76,25 - 34 Años,Femenino,Guatemala,Alemania,Lionel Messi
76,25 - 34 Años,Femenino,Guatemala,Alemania,Federico Valverde
76,25 - 34 Años,Femenino,Guatemala,Alemania,Vinícius Júnior
77,25 - 34 Años,Masculino,Retalhuleu,Estados Unidos,Cristiano Ronaldo
77,25 - 34 Años,Masculino,Retalhuleu,Estados Unidos,Neymar Jr.
78,45 - 54 Años,Femenino,Guatemala,Colombia,Jude Bellingham
78,45 - 54 Años,Femenino,Guatemala,Colombia,Lionel Messi
78,45 - 54 Años,Femenino,Guatemala,Colombia,Lamine Yamal
79,25 - 34 Años,Femenino,Guatemala,Brasil,Harry Kane
79,25 - 34 Años,Femenino,Guatemala,Brasil,Cristiano Ronaldo
80,25 - 34 Años,Masculino,Guatemala,Inglaterra,Kylian Mbappé
80,25 - 34 Años,Masculino,Guatemala,Inglaterra,Christian Pulisic
81,25 - 34 Años,Masculino,Retalhuleu,Alemania,Neymar Jr.
81,25 - 34 Años,Masculino,Retalhuleu,Alemania,Kylian Mbappé
81,25 - 34 Años,Masculino,Retalhuleu,Alemania,Vinícius Júnior
82,45 - 54 Años,Masculino,Guatemala,España,Neymar Jr.
83,25 - 34 Años,Femenino,Quetzaltenango,México,Kylian Mbappé
83,25 - 34 Años,Femenino,Quetzaltenango,México,Jude Bellingham
84,25 - 34 Años,Femenino,Guatemala,México,Neymar Jr.
84,25 - 34 Años,Femenino,Guatemala,México,Lionel Messi
85,25 - 34 Años,Femenino,Guatemala,Colombia,Lionel Messi
86,Menos De 18 Años,Femenino,Quetzaltenango,Brasil,Christian Pulisic
86,Menos De 18 Años,Femenino,Quetzaltenango,Brasil,Kylian Mbappé
87,55 Años O Más,Femenino,Chimaltenango,Brasil,Neymar Jr.
88,35 - 44 Años,Masculino,Quetzaltenango,Portugal,Cristiano Ronaldo
88,35 - 44 Años,Masculino,Quetzaltenango,Portugal,Lamine Yamal
88,35 - 44 Años,Masculino,Quetzaltenango,Portugal,Neymar Jr.
89,Menos De 18 Años,Femenino,Guatemala,Alemania,Lionel Messi
89,Menos De 18 Años,Femenino,Guatemala,Alemania,Jude Bellingham
89,Menos De 18 Años,Femenino,Guatemala,Alemania,Cristiano Ronaldo
90,55 Años O Más,Femenino,Guatemala,Colombia,Cristiano Ronaldo
91,18 - 24 Años,Femenino,Petén,Portugal,Lionel Messi
92,18 - 24 Años,Femenino,Guatemala,Brasil,Harry Kane
92,18 - 24 Años,Femenino,Guatemala,Brasil,Cristiano Ronaldo
92,18 - 24 Años,Femenino,Guatemala,Brasil,Vinícius Júnior
93,45 - 54 Años,Masculino,Guatemala,Suecia,Cristiano Ronaldo
93,45 - 54 Años,Masculino,Guatemala,Suecia,Vinícius Júnior
94,35 - 44 Años,Femenino,Guatemala,Argentina,Cristiano Ronaldo
94,35 - 44 Años,Femenino,Guatemala,Argentina,Neymar Jr.
94,35 - 44 Años,Femenino,Guatemala,Argentina,Lamine Yamal
95,25 - 34 Años,Masculino,Guatemala,España,Lionel Messi
95,25 - 34 Años,Masculino,Guatemala,España,Alphonso Davies
95,25 - 34 Años,Masculino,Guatemala,España,Neymar Jr.
96,45 - 54 Años,Masculino,Alta Verapaz,España,Vinícius Júnior
96,45 - 54 Años,Masculino,Alta Verapaz,España,Federico Valverde
97,25 - 34 Años,Masculino,El Progreso,Portugal,Cristiano Ronaldo
98,35 - 44 Años,Femenino,Guatemala,México,Cristiano Ronaldo
99,25 - 34 Años,Femenino,Totonicapán,Argentina,Lionel Messi
100,55 Años O Más,Masculino,Escuintla,México,Lionel Messi
100,55 Años O Más,Masculino,Escuintla,México,Neymar Jr.
100,55 Años O Más,Masculino,Escuintla,México,Cristiano Ronaldo
101,18 - 24 Años,Masculino,Escuintla,Colombia,Harry Kane
101,18 - 24 Años,Masculino,Escuintla,Colombia,Lionel Messi
102,35 - 44 Años,Femenino,Escuintla,Portugal,Jude Bellingham
103,55 Años O Más,Femenino,Alta Verapaz,Francia,Lamine Yamal
103,55 Años O Más,Femenino,Alta Verapaz,Francia,Lionel Messi
103,55 Años O Más,Femenino,Alta Verapaz,Francia,Kylian Mbappé
104,25 - 34 Años,Masculino,Guatemala,Panamá,Neymar Jr.
104,25 - 34 Años,Masculino,Guatemala,Panamá,Cristiano Ronaldo
104,25 - 34 Años,Masculino,Guatemala,Panamá,Federico Valverde
105,35 - 44 Años,Masculino,Guatemala,Francia,Lamine Yamal
105,35 - 44 Años,Masculino,Guatemala,Francia,Vinícius Júnior
106,35 - 44 Años,Masculino,El Progreso,Noruega,Lionel Messi
106,35 - 44 Años,Masculino,El Progreso,Noruega,Vinícius Júnior
106,35 - 44 Años,Masculino,El Progreso,Noruega,Harry Kane
107,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Cristiano Ronaldo
107,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Lamine Yamal
108,18 - 24 Años,Femenino,Sacatepéquez,Argentina,Kylian Mbappé
108,18 - 24 Años,Femenino,Sacatepéquez,Argentina,Lionel Messi
109,18 - 24 Años,Femenino,Guatemala,Inglaterra,Julián Álvarez
109,18 - 24 Años,Femenino,Guatemala,Inglaterra,Alphonso Davies
110,25 - 34 Años,Femenino,Escuintla,Argentina,Kylian Mbappé
110,25 - 34 Años,Femenino,Escuintla,Argentina,Cristiano Ronaldo
111,Menos De 18 Años,Masculino,Escuintla,Brasil,Vinícius Júnior
111,Menos De 18 Años,Masculino,Escuintla,Brasil,Cristiano Ronaldo
111,Menos De 18 Años,Masculino,Escuintla,Brasil,Federico Valverde
112,25 - 34 Años,Masculino,Alta Verapaz,Argentina,Jude Bellingham
112,25 - 34 Años,Masculino,Alta Verapaz,Argentina,Cristiano Ronaldo
112,25 - 34 Años,Masculino,Alta Verapaz,Argentina,Lamine Yamal
113,45 - 54 Años,Femenino,Sololá, ALEMANIA ,Kylian Mbappé
113,45 - 54 Años,Femenino,Sololá, ALEMANIA ,Lionel Messi
113,45 - 54 Años,Femenino,Sololá, ALEMANIA ,Vinícius Júnior
114,18 - 24 Años,Masculino,Izabal,España,Lionel Messi
114,18 - 24 Años,Masculino,Izabal,España,Cristiano Ronaldo
115,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Lamine Yamal
116,18 - 24 Años,Femenino,El Progreso,Inglaterra,Lamine Yamal
117,25 - 34 Años,Femenino,Zacapa,España,Jude Bellingham
117,25 - 34 Años,Femenino,Zacapa,España,Cristiano Ronaldo
118,Menos De 18 Años,Femenino,Guatemala,México,Neymar Jr.
118,Menos De 18 Años,Femenino,Guatemala,México,Lamine Yamal
119,18 - 24 Años,Femenino,Guate,México,Lionel Messi
120,18 - 24 Años,Masculino,Guatemala,Brasil,Cristiano Ronaldo
120,18 - 24 Años,Masculino,Guatemala,Brasil,Kylian Mbappé
121,18 - 24 Años,Femenino,Chiquimula,Inglaterra,Ninguno
122,25 - 34 Años,Masculino,Huehuetenango,España,Neymar Jr.
122,25 - 34 Años,Masculino,Huehuetenango,España,Kylian Mbappé
122,25 - 34 Años,Masculino,Huehuetenango,España,Cristiano Ronaldo
123,25 - 34 Años,Femenino,Chimaltenango,Argentina,Federico Valverde
123,25 - 34 Años,Femenino,Chimaltenango,Argentina,Harry Kane
124,Menos De 18 Años,Prefiero No Indicarlo,Sacatepéquez,México,Jude Bellingham
125,45 - 54 Años,Masculino,Guatemala,Brasil,Jude Bellingham
126,25 - 34 Años,Masculino,Chimaltenango,Alemania,Cristiano Ronaldo
127,25 - 34 Años,Masculino,Escuintla,México,Lionel Messi
127,25 - 34 Años,Masculino,Escuintla,México,Kylian Mbappé
128,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Julián Álvarez
128,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Vinícius Júnior
129,45 - 54 Años,Femenino,Petén,España,Kylian Mbappé
129,45 - 54 Años,Femenino,Petén,España,Lionel Messi
130,18 - 24 Años,Femenino,Escuintla,Portugal,Vinícius Júnior
130,18 - 24 Años,Femenino,Escuintla,Portugal,Julián Álvarez
131,25 - 34 Años,Femenino,Guatemala,México,Vinícius Júnior
131,25 - 34 Años,Femenino,Guatemala,México,Ninguno
132,18 - 24 Años,Masculino,Retalhuleu,Portugal,Kylian Mbappé
132,18 - 24 Años,Masculino,Retalhuleu,Portugal,Lionel Messi
133,25 - 34 Años,Masculino,Sololá,Inglaterra,Kylian Mbappé
134,18 - 24 Años,Masculino,Escuintla,Brasil,Neymar Jr.
134,18 - 24 Años,Masculino,Escuintla,Brasil,Jude Bellingham
134,18 - 24 Años,Masculino,Escuintla,Brasil,Kylian Mbappé
135,35 - 44 Años,Prefiero No Indicarlo,Alta Verapaz,Argentina,Lionel Messi
135,35 - 44 Años,Prefiero No Indicarlo,Alta Verapaz,Argentina,Christian Pulisic
136,18 - 24 Años,Masculino,Zacapa,México,Lionel Messi
136,18 - 24 Años,Masculino,Zacapa,México,Neymar Jr.
137,45 - 54 Años,Masculino,Quiché,España,Lamine Yamal
137,45 - 54 Años,Masculino,Quiché,España,Cristiano Ronaldo
138,45 - 54 Años,Masculino,Sacatepéquez,España,Harry Kane
138,45 - 54 Años,Masculino,Sacatepéquez,España,Lamine Yamal
139,25 - 34 Años,Masculino,Guatemala,Argentina,Neymar Jr.
139,25 - 34 Años,Masculino,Guatemala,Argentina,Christian Pulisic
140,45 - 54 Años,Masculino,Guatemala,Portugal,Kylian Mbappé
140,45 - 54 Años,Masculino,Guatemala,Portugal,Cristiano Ronaldo
140,45 - 54 Años,Masculino,Guatemala,Portugal,Lionel Messi
141,25 - 34 Años,Masculino,Guatemala, ESPAÑA ,Neymar Jr.
141,25 - 34 Años,Masculino,Guatemala, ESPAÑA ,Lamine Yamal
141,25 - 34 Años,Masculino,Guatemala, ESPAÑA ,Alphonso Davies
142,45 - 54 Años,Masculino,Guatemala,México,Alphonso Davies
142,45 - 54 Años,Masculino,Guatemala,México,Lionel Messi
142,45 - 54 Años,Masculino,Guatemala,México,Lamine Yamal
143,25 - 34 Años,Masculino,Guatemala,Alemania,Lionel Messi
144,35 - 44 Años,Masculino,Quiché,Inglaterra,Lionel Messi
145,25 - 34 Años,Masculino,Guatemala,España,Lionel Messi
145,25 - 34 Años,Masculino,Guatemala,España,Cristiano Ronaldo
145,25 - 34 Años,Masculino,Guatemala,España,Vinícius Júnior
146,25 - 34 Años,Femenino,Quetzaltenango,Estados Unidos,Lionel Messi
146,25 - 34 Años,Femenino,Quetzaltenango,Estados Unidos,Cristiano Ronaldo
147,55 Años O Más,Femenino,Guatemala,Brasil,Kylian Mbappé
148,55 Años O Más,Femenino,Escuintla,Brasil,Lionel Messi
148,55 Años O Más,Femenino,Escuintla,Brasil,Christian Pulisic
148,55 Años O Más,Femenino,Escuintla,Brasil,Vinícius Júnior
149,35 - 44 Años,Masculino,Guatemala,Brasil,Christian Pulisic
150,55 Años O Más,Femenino,Sacatepéquez,Portugal,Kylian Mbappé
150,55 Años O Más,Femenino,Sacatepéquez,Portugal,Julián Álvarez
151,25 - 34 Años,Masculino,Guatemala,Argentina,Lamine Yamal
151,25 - 34 Años,Masculino,Guatemala,Argentina,Neymar Jr.
152,25 - 34 Años,Masculino,Guatemala,Inglaterra,Lionel Messi
153,35 - 44 Años,Masculino,Quetzaltenango,Uruguay,Vinícius Júnior
153,35 - 44 Años,Masculino,Quetzaltenango,Uruguay,Cristiano Ronaldo
154,25 - 34 Años,Masculino,Chimaltenango,Portugal,Cristiano Ronaldo
155,35 - 44 Años,Masculino,Guatemala,Francia,Cristiano Ronaldo
155,35 - 44 Años,Masculino,Guatemala,Francia,Ninguno
155,35 - 44 Años,Masculino,Guatemala,Francia,Federico Valverde
156,25 - 34 Años,Femenino,Guatemala,México,Cristiano Ronaldo
157,25 - 34 Años,Prefiero No Indicarlo,Escuintla,Argentina,Neymar Jr.
157,25 - 34 Años,Prefiero No Indicarlo,Escuintla,Argentina,Vinícius Júnior
158,25 - 34 Años,Masculino,Suchitepéquez,Francia,Lionel Messi
159,35 - 44 Años,Femenino,Chimaltenango, MÉXICO ,Kylian Mbappé
159,35 - 44 Años,Femenino,Chimaltenango, MÉXICO ,Vinícius Júnior
160,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Christian Pulisic
160,35 - 44 Años,Femenino,Guatemala,Estados Unidos,Cristiano Ronaldo
161,35 - 44 Años,Masculino,Huehuetenango,Inglaterra,Cristiano Ronaldo
161,35 - 44 Años,Masculino,Huehuetenango,Inglaterra,Jude Bellingham
162,25 - 34 Años,Masculino,Guatemala, PORTUGAL ,Kylian Mbappé
162,25 - 34 Años,Masculino,Guatemala, PORTUGAL ,Lamine Yamal
163,Menos De 18 Años,Femenino,Guatemala,Argentina,Lionel Messi
163,Menos De 18 Años,Femenino,Guatemala,Argentina,Lamine Yamal
163,Menos De 18 Años,Femenino,Guatemala,Argentina,Kylian Mbappé
164,Menos De 18 Años,Masculino,Quetzaltenango, MÉXICO ,Lionel Messi
164,Menos De 18 Años,Masculino,Quetzaltenango, MÉXICO ,Vinícius Júnior
164,Menos De 18 Años,Masculino,Quetzaltenango, MÉXICO ,Federico Valverde
165,25 - 34 Años,Femenino,Guatemala,Uruguay,Christian Pulisic
165,25 - 34 Años,Femenino,Guatemala,Uruguay,Neymar Jr.
166,55 Años O Más,Masculino,Zacapa,Argentina,Lionel Messi
166,55 Años O Más,Masculino,Zacapa,Argentina,Kylian Mbappé
167,18 - 24 Años,Femenino,Guatemala,Estados Unidos,Cristiano Ronaldo
167,18 - 24 Años,Femenino,Guatemala,Estados Unidos,Lionel Messi
167,18 - 24 Años,Femenino,Guatemala,Estados Unidos,Kylian Mbappé
168,18 - 24 Años,Masculino,Chiquimula,Argentina,Jude Bellingham
168,18 - 24 Años,Masculino,Chiquimula,Argentina,Rodri
169,18 - 24 Años,Femenino,Guatemala,Brasil,Christian Pulisic
169,18 - 24 Años,Femenino,Guatemala,Brasil,Cristiano Ronaldo
169,18 - 24 Años,Femenino,Guatemala,Brasil,Lionel Messi
170,35 - 44 Años,Masculino,Guatemala,Brasil,Jude Bellingham
171,25 - 34 Años,Femenino,Alta Verapaz,Paraguay,Rodri
172,45 - 54 Años,Masculino,Guatemala,Brasil,Kylian Mbappé
173,Menos De 18 Años,Femenino,Guatemala,Alemania,Neymar Jr.
173,Menos De 18 Años,Femenino,Guatemala,Alemania,Lionel Messi
173,Menos De 18 Años,Femenino,Guatemala,Alemania,Christian Pulisic
174,18 - 24 Años,Femenino,Guatemala,Francia,Vinícius Júnior
174,18 - 24 Años,Femenino,Guatemala,Francia,Lionel Messi
174,18 - 24 Años,Femenino,Guatemala,Francia,Cristiano Ronaldo
175,Menos De 18 Años,Masculino,San Marcos,España,Ninguno
176,35 - 44 Años,Femenino,Guatemala,Argentina,Jude Bellingham
177,35 - 44 Años,Masculino,Petén,Egipto,Lionel Messi
178,45 - 54 Años,Femenino,Sacatepéquez,España,Jude Bellingham
178,45 - 54 Años,Femenino,Sacatepéquez,España,Cristiano Ronaldo
178,45 - 54 Años,Femenino,Sacatepéquez,España,Kylian Mbappé
179,25 - 34 Años,Femenino,Guatemala,Alemania,Vinícius Júnior
179,25 - 34 Años,Femenino,Guatemala,Alemania,Neymar Jr.
179,25 - 34 Años,Femenino,Guatemala,Alemania,Kylian Mbappé
180,25 - 34 Años,Masculino,Guatemala,Alemania,Jude Bellingham
180,25 - 34 Años,Masculino,Guatemala,Alemania,Neymar Jr.
180,25 - 34 Años,Masculino,Guatemala,Alemania,Julián Álvarez
181,18 - 24 Años,Masculino,Guatemala,Brasil,Jude Bellingham
181,18 - 24 Años,Masculino,Guatemala,Brasil,Alphonso Davies
181,18 - 24 Años,Masculino,Guatemala,Brasil,Kylian Mbappé
182,35 - 44 Años,Femenino,Sacatepéquez,Brasil,Kylian Mbappé
182,35 - 44 Años,Femenino,Sacatepéquez,Brasil,Harry Kane
183,18 - 24 Años,Masculino,Jalapa,Francia,Lionel Messi
184,25 - 34 Años,Femenino,Petén,Argentina,Cristiano Ronaldo
184,25 - 34 Años,Femenino,Petén,Argentina,Federico Valverde
184,25 - 34 Años,Femenino,Petén,Argentina,Vinícius Júnior
185,Menos De 18 Años,Prefiero No Indicarlo,Guatemala,Brasil,Lionel Messi
185,Menos De 18 Años,Prefiero No Indicarlo,Guatemala,Brasil,Harry Kane
185,Menos De 18 Años,Prefiero No Indicarlo,Guatemala,Brasil,Neymar Jr.
186,45 - 54 Años,Femenino,Guatemala,Argentina,Neymar Jr.
186,45 - 54 Años,Femenino,Guatemala,Argentina,Jude Bellingham
186,45 - 54 Años,Femenino,Guatemala,Argentina,Lionel Messi
187,55 Años O Más,Masculino,Escuintla,Uruguay,Vinícius Júnior
187,55 Años O Más,Masculino,Escuintla,Uruguay,Neymar Jr.
188,25 - 34 Años,Masculino,Santa Rosa,Corea del Sur,Lionel Messi
