EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra,Disposicion_Gasto_Premium,Segmento_Lealtad_Mundial,Segmento_Edad_Analitico
11,2026-04-04,19:56:16,18 - 24 Años,Masculino,Suchitepéquez,Suchitepéquez,Profesional Independiente,Todos Los Días,Otro,Familia,Menos De Q25,Gol Nachos Supreme,Queso,Individual,Q16 - Q20,Sí,No,Estados Unidos,Probablemente sí,Czechia,Neymar Jr.; Cristiano Ronaldo,Una selección nacional,2x1,Sí,Edición Inglaterra,Moderada,Espectador Pasivo,Jóvenes (<25)
12,2026-01-29,19:45:23,Menos De 18 Años,Masculino,Quetzaltenango,Quetzaltenango,Empleado Privado,3 A 5 Veces Por Semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,FutbolMix,Limón,Tamaño Fiesta O Reunión,Q16 - Q20,Sí,Sí,Argentina,Probablemente sí,Argentina,Vinícius Júnior,Un jugador famoso,Descuento directo,Sí,Edición Inglaterra,Premium Alta,Fanático Target (Alto),Jóvenes (<25)
13,2026-05-05,07:34:13,25 - 34 Años,Masculino,Chiquimula,Chiquimula,Empresario,3 A 5 Veces Por Semana,Supermercado,Familia,Q101 - Q150,FutbolMix; Gol Nachos Supreme; Caramel Goal Popcorn,Queso,Tamaño Fiesta O Reunión,Más De Q30,No,Sí,Argentina,Tal vez,Argentina,Cristiano Ronaldo,Historias de aficionados,2x1,No,Edición Argentina,Sensible Al Precio,Espectador Pasivo,Adulto Joven (25-34)
14,2026-04-28,22:27:22,25 - 34 Años,Femenino,Quiché,Otro municipio,Jubilado,3 A 5 Veces Por Semana,Otro,Amigos,Q51 - Q100,Victory Pretzels,Queso,Individual,Q16 - Q20,Sí,Sí,Argentina,Tal vez,Brasil,Cristiano Ronaldo; Neymar Jr.,Un jugador famoso,2x1,No,Edición Mundial Fifa 2026,Premium Alta,Espectador Pasivo,Adulto Joven (25-34)
15,2026-02-10,18:43:52,18 - 24 Años,Femenino,Retalhuleu,Otro municipio,Estudiante,1 A 2 Veces Por Semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,Energy Crunch Protein; CrunchMax BBQ; ChocoKick Bites,Jalapeño,Individual,Q10 - Q15,Sí,Sí,Inglaterra,Probablemente sí,Portugal,Lionel Messi; Neymar Jr.; Kylian Mbappé,Un jugador famoso,Producto gratis,Sí,Edición Inglaterra,Premium Alta,Fanático Target (Alto),Jóvenes (<25)
16,2026-03-23,11:27:17,Menos De 18 Años,Femenino,Sacatepéquez,Jocotenango,Estudiante,1 A 2 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,ChocoKick Bites; FutbolMix,Barbacoa,Tamaño Fiesta O Reunión,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Portugal,Jude Bellingham; Cristiano Ronaldo,Premios y sorteos,Tarjetas coleccionables,Sí,Edición España,Moderada,Fanático Target (Alto),Jóvenes (<25)
17,2026-05-08,19:46:11,18 - 24 Años,Femenino,Guatemala,Guatemala,Empleado Privado,Todos Los Días,Supermercado,Familia,Más De Q150,Hot Stadium Peanuts; Gol Nachos Supreme; FutbolMix,Limón,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,México,Tal vez,España,Rodri; Alphonso Davies; Vinícius Júnior,Historias de aficionados,2x1,Sí,Edición Francia,Moderada,Casual,Jóvenes (<25)
18,2026-05-10,21:13:38,35 - 44 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Público,1 A 2 Veces Por Semana,Kiosco escolar/universitario,Amigos,Q101 - Q150,Mundialitos Queso Picante; CrunchMax BBQ,Barbacoa,Individual,Q21 - Q30,Sí,Sí,Brasil,Probablemente sí,Brasil,Neymar Jr.; Vinícius Júnior; Lionel Messi,Humor,Sorteo de viajes,Sí,Edición Con Tarjetas Coleccionables,Moderada,Fanático Target (Alto),Adulto Maduro (35-54)
19,2026-02-11,21:12:23,18 - 24 Años,Femenino,Santa Rosa,Otro municipio,Comerciante,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; Energy Crunch Protein,Picante Chapín,Para Compartir Entre 2 Personas,Más De Q30,Sí,Sí,Australia,Probablemente sí,España,Julián Álvarez; Harry Kane,Un jugador famoso,Producto gratis,Sí,Edición Con Jugadores Famosos,Moderada,Fanático Target (Alto),Jóvenes (<25)
20,2026-03-31,10:59:38,18 - 24 Años,Femenino,Guatemala,San Miguel Petapa,Empresario,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,Hot Stadium Peanuts; Mundialitos Queso Picante; FutbolMix,Queso,Familiar,Q16 - Q20,Sí,Sí,Estados Unidos,Definitivamente sí,Inglaterra,Jude Bellingham,Premios y sorteos,Sorteo de viajes,Sí,Edición Con Jugadores Famosos,Premium Alta,Casual,Jóvenes (<25)
21,2026-02-17,12:08:17,25 - 34 Años,Masculino,Jutiapa,Jutiapa,Empleado Público,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,ChocoKick Bites; FutbolMix; Fan Chips Jalapeño,Barbacoa,Tamaño Fiesta O Reunión,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Inglaterra,Lionel Messi; Rodri; Harry Kane,Historias de aficionados,Sorteo de camisetas,No,Edición Brasil,Moderada,Casual,Adulto Joven (25-34)
22,2026-04-16,07:10:32,25 - 34 Años,Masculino,Jalapa,Otro municipio,Empleado Privado,Todos Los Días,Tienda de barrio,Familia,Q51 - Q100,Fan Chips Jalapeño; Victory Pretzels,Barbacoa,Familiar,Q21 - Q30,Sí,Sí,Irán,Probablemente no,Brasil,Lionel Messi; Cristiano Ronaldo; Neymar Jr.,Historias de aficionados,Tarjetas coleccionables,No,Edición Brasil,Premium Alta,Espectador Pasivo,Adulto Joven (25-34)
23,2026-03-30,12:07:11,25 - 34 Años,Masculino,Guatemala,Guatemala,Empresario,Todos Los Días,Tienda de barrio,Otro,Q25 - Q50,FutbolMix,Caramelo,Familiar,Q16 - Q20,Sí,Sí,Estados Unidos,Tal vez,Inglaterra,Vinícius Júnior; Lionel Messi; Christian Pulisic,Humor,Descuento directo,Sí,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Joven (25-34)
24,2026-02-11,09:29:29,18 - 24 Años,Femenino,Guatemala,San Miguel Petapa,Otro,Todos Los Días,Otro,Amigos,Q101 - Q150,Mundialitos Queso Picante; ChocoKick Bites,Queso,Familiar,Q21 - Q30,No,Sí,Brasil,Tal vez,Francia,Neymar Jr.; Vinícius Júnior,Historias de aficionados,Sorteo de viajes,No,Edición Francia,Sensible Al Precio,Espectador Pasivo,Jóvenes (<25)
25,2026-04-16,10:46:54,45 - 54 Años,Femenino,Guatemala,Santa Catarina Pinula,Empresario,3 A 5 Veces Por Semana,Tienda de barrio,Solo,Q51 - Q100,FutbolMix; Mundialitos Queso Picante,Limón,Familiar,Q16 - Q20,Sí,Sí,Portugal,Definitivamente sí,México,Lionel Messi,Premios y sorteos,Descuento directo,Sí,Edición Con Tarjetas Coleccionables,Premium Alta,Casual,Adulto Maduro (35-54)
26,2026-04-18,20:55:47,18 - 24 Años,Femenino,Petén,Poptún,Empleado Privado,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,ChocoKick Bites; FutbolMix,Picante Chapín,Para Compartir Entre 2 Personas,Q21 - Q30,Sí,Sí,España,Definitivamente sí,Inglaterra,Lamine Yamal; Kylian Mbappé,Humor,2x1,No,Edición Francia,Moderada,Espectador Pasivo,Jóvenes (<25)
27,2026-02-06,10:57:28,25 - 34 Años,Femenino,Chimaltenango,Tecpán Guatemala,Jubilado,Todos Los Días,Supermercado,Familia,Menos De Q25,ChocoKick Bites,Chocolate,Familiar,Q21 - Q30,Sí,No,Brasil,Definitivamente sí,Argentina,Kylian Mbappé,Premios y sorteos,Descuento directo,Sí,Edición Con Tarjetas Coleccionables,Moderada,Espectador Pasivo,Adulto Joven (25-34)
28,2026-03-14,08:34:22,25 - 34 Años,Femenino,Chimaltenango,Chimaltenango,Otro,1 A 2 Veces Por Semana,Aplicación de delivery,Amigos,Menos De Q25,Energy Crunch Protein,Salado Tradicional,Individual,Q10 - Q15,No,Sí,México,Tal vez,México,Lionel Messi; Jude Bellingham,Historias de aficionados,Producto gratis,Sí,Edición Inglaterra,Sensible Al Precio,Casual,Adulto Joven (25-34)
29,2026-05-01,11:43:51,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Estudiante,3 A 5 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,Gol Nachos Supreme,Barbacoa,Familiar,Q16 - Q20,No,Sí,España,Definitivamente sí,México,Ninguno,Historias de aficionados,Producto gratis,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Joven (25-34)
30,2026-03-09,10:15:42,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Empresario,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,FutbolMix; Mundialitos Queso Picante,Dulce,Familiar,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Argentina,Ninguno; Lionel Messi; Jude Bellingham,Un jugador famoso,Descuento directo,No,Edición Brasil,Premium Alta,Casual,Adulto Joven (25-34)
31,2026-02-17,15:28:47,25 - 34 Años,Femenino,Sacatepéquez,Ciudad Vieja,Profesional Independiente,Todos Los Días,Tienda de barrio,Amigos,Q25 - Q50,Fan Chips Jalapeño; CrunchMax BBQ,Picante Chapín,Tamaño Fiesta O Reunión,Q16 - Q20,No,Sí,Corea del Sur,Definitivamente sí,Estados Unidos,Rodri,Premios y sorteos,Producto gratis,Sí,Edición Con Tarjetas Coleccionables,Moderada,Casual,Adulto Joven (25-34)
32,2026-03-16,16:02:47,18 - 24 Años,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Estudiante,1 A 2 Veces Por Semana,Tienda de barrio,Familia,Q51 - Q100,Victory Pretzels; Fan Chips Jalapeño; Gol Nachos Supreme,Limón,Para Compartir Entre 2 Personas,Q21 - Q30,Sí,Sí, ESTADOS UNIDOS ,Probablemente sí,Brasil,Cristiano Ronaldo; Vinícius Júnior; Alphonso Davies,Humor,2x1,No,Edición Brasil,Premium Alta,Casual,Jóvenes (<25)
33,2026-03-18,14:00:26,18 - 24 Años,Femenino,Escuintla,Escuintla,Profesional Independiente,Todos Los Días,Otro,Amigos,Q51 - Q100,Mundialitos Queso Picante; CrunchMax BBQ; Caramel Goal Popcorn,Jalapeño,Para Compartir Entre 2 Personas,Q16 - Q20,No,Sí, FRANCIA ,Tal vez,Inglaterra,Harry Kane; Rodri,Historias de aficionados,2x1,No,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Jóvenes (<25)
34,2026-05-02,10:26:15,25 - 34 Años,Femenino,Chimaltenango,Tecpán Guatemala,Empresario,Varias Veces Al Mes,Supermercado,Familia,Q101 - Q150,CrunchMax BBQ,Barbacoa,Familiar,Q16 - Q20,No,Sí,Noruega,Probablemente sí,Francia,Lionel Messi,Una selección nacional,Producto gratis,Sí,Edición Inglaterra,Sensible Al Precio,Fanático Target (Alto),Adulto Joven (25-34)
35,2026-01-12,21:27:56,Menos De 18 Años,Masculino,Guatemala,Guatemala,Empleado Privado,Todos Los Días,Supermercado,Familia,Menos De Q25,Fan Chips Jalapeño,Picante Chapín,Familiar,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí, PORTUGAL ,Christian Pulisic,Historias de aficionados,Sorteo de viajes,No,Edición Argentina,Moderada,Casual,Jóvenes (<25)
36,2026-03-24,15:20:27,25 - 34 Años,Masculino,El Progreso,Cabecera municipal,Empleado Privado,Todos Los Días,Tienda de barrio,Familia,Q51 - Q100,Caramel Goal Popcorn; ChocoKick Bites,Jalapeño,Para Compartir Entre 2 Personas,Q10 - Q15,No,Sí,Argentina,Definitivamente sí,Jordania,Lamine Yamal,Una selección nacional,Sorteo de camisetas,Sí,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Joven (25-34)
37,2026-02-19,10:42:21,18 - 24 Años,Femenino,Quiché,Otro municipio,Profesional Independiente,3 A 5 Veces Por Semana,Supermercado,Solo,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante; Fan Chips Jalapeño,,Familiar,Q21 - Q30,Sí,Sí,Portugal,Probablemente sí,Brasil,Federico Valverde,Un jugador famoso,Sorteo de viajes,Sí,Edición Francia,Premium Alta,Fanático Target (Alto),Jóvenes (<25)
38,2026-02-28,16:58:55,25 - 34 Años,Femenino,Guatemala, SAN MIGUEL PETAPA ,Profesional Independiente,Rara Vez,Aplicación de delivery,Otro,Q51 - Q100,FutbolMix; Energy Crunch Protein,Jalapeño,Familiar,Q16 - Q20,Sí,Sí,España,Probablemente sí,España,Lionel Messi; Jude Bellingham; Vinícius Júnior,Historias de aficionados,Descuento directo,No,Edición España,Premium Alta,Casual,Adulto Joven (25-34)
39,2026-04-26,07:48:49,Menos De 18 Años,Masculino,Chiquimula,Cabecera municipal,Estudiante,Todos Los Días,Gasolinera,Compañeros de trabajo,Más De Q150,ChocoKick Bites; Caramel Goal Popcorn; FutbolMix,Limón,Individual,Q10 - Q15,No,Sí,Argentina,Definitivamente sí,México,Ninguno,Premios y sorteos,Sorteo de camisetas,Sí,Edición España,Sensible Al Precio,Casual,Jóvenes (<25)
40,2026-01-29,13:20:10,45 - 54 Años,Femenino,Quiché,Cabecera municipal,Empresario,3 A 5 Veces Por Semana,,Familia,Menos De Q25,Fan Chips Jalapeño; ChocoKick Bites; FutbolMix,Limón,Individual,Más De Q30,Sí,Sí,Argentina,Definitivamente sí,México,Jude Bellingham,Una selección nacional,2x1,No,Edición Inglaterra,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
41,2026-01-25,19:16:37,18 - 24 Años,Femenino,Quetzaltenango,Olintepeque,,3 A 5 Veces Por Semana,Supermercado,Otro,Q101 - Q150,Mundialitos Queso Picante,Limón,Para Compartir Entre 2 Personas,Q10 - Q15,Sí,Sí,Francia,Definitivamente sí,Francia,Cristiano Ronaldo; Vinícius Júnior; Rodri,Premios y sorteos,Descuento directo,Sí,Edición Brasil,Moderada,Casual,Jóvenes (<25)
42,2026-04-06,20:04:30,18 - 24 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Ama De Casa,1 A 2 Veces Por Semana,Aplicación de delivery,Amigos,Q51 - Q100,Hot Stadium Peanuts; Caramel Goal Popcorn,Queso,Familiar,Q21 - Q30,Sí,Sí,Argentina,Definitivamente sí,Estados Unidos,Neymar Jr.; Julián Álvarez,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Argentina,Premium Alta,Casual,Jóvenes (<25)
43,2026-03-14,22:44:27,18 - 24 Años,Femenino,Guatemala,Villa Nueva,Ama De Casa,Todos Los Días,Tienda de barrio,Amigos,Menos De Q25,Energy Crunch Protein,Salado Tradicional,Individual,Más De Q30,Sí,Sí,Estados Unidos,Definitivamente sí,Inglaterra,Lamine Yamal; Kylian Mbappé,Historias de aficionados,Descuento directo,No,Edición Mundial Fifa 2026,Moderada,Espectador Pasivo,Jóvenes (<25)
44,2026-03-05,14:41:13,45 - 54 Años,Masculino,Guatemala,Villa Nueva,Ama De Casa,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,Energy Crunch Protein,Caramelo,Familiar,Q16 - Q20,No,Sí,Francia,Probablemente sí, PORTUGAL ,Neymar Jr.; Jude Bellingham,Historias de aficionados,2x1,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Adulto Maduro (35-54)
45,2026-04-18,17:45:15,25 - 34 Años,Femenino,Guatemala,Mixco,Estudiante,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; Mundialitos Queso Picante; Caramel Goal Popcorn,Queso,Familiar,Q10 - Q15,No,Sí,Brasil,Probablemente sí,Portugal,Vinícius Júnior,Humor,Tarjetas coleccionables,No,Edición España,Moderada,Casual,Adulto Joven (25-34)
46,2026-03-16,20:47:20,45 - 54 Años,Masculino,Quetzaltenango,Olintepeque,Estudiante,3 A 5 Veces Por Semana,Tienda de barrio,Solo,Q25 - Q50,Hot Stadium Peanuts; Fan Chips Jalapeño; FutbolMix,Picante Chapín,Para Compartir Entre 2 Personas,Más De Q30,No,Sí,Portugal,Tal vez,Argentina,Rodri; Jude Bellingham,Una selección nacional,Sorteo de camisetas,No,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
47,2026-01-21,18:25:48,35 - 44 Años,Masculino,Guatemala,Guatemala,Comerciante,1 A 2 Veces Por Semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,Fan Chips Jalapeño; Gol Nachos Supreme,Limón,Individual,Q10 - Q15,Sí,No,Argentina,Definitivamente sí,Inglaterra,Ninguno; Lionel Messi; Vinícius Júnior,Un jugador famoso,2x1,Sí,Edición Francia,Premium Alta,Espectador Pasivo,Adulto Maduro (35-54)
48,2026-03-12,21:44:33,35 - 44 Años,Masculino,Chimaltenango,Chimaltenango,Estudiante,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,CrunchMax BBQ,Queso,Individual,Más De Q30,Sí,Sí, ARGENTINA ,Tal vez,España,Lionel Messi,Una selección nacional,Descuento directo,Sí,Edición Con Tarjetas Coleccionables,Premium Alta,Casual,Adulto Maduro (35-54)
49,2026-02-22,18:11:52,45 - 54 Años,Femenino,Totonicapán,Totonicapán,Empleado Privado,Todos Los Días,Tienda de barrio,Familia,Q25 - Q50,CrunchMax BBQ,Queso,Familiar,Más De Q30,Sí,Sí,Argentina,Definitivamente sí,México,Neymar Jr.,Humor,Sorteo de viajes,No,Edición Inglaterra,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
50,2026-03-16,20:07:23,Menos De 18 Años,Prefiero No Indicarlo,Escuintla,Escuintla,Empleado Privado,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,ChocoKick Bites; Fan Chips Jalapeño,Dulce,Familiar,Q10 - Q15,No,Sí,Francia,Probablemente sí,Argentina,Cristiano Ronaldo,Un jugador famoso,Descuento directo,Sí,Edición Con Jugadores Famosos,Moderada,Fanático Target (Alto),Jóvenes (<25)
51,2026-01-25,21:57:57,18 - 24 Años,Femenino,Chimaltenango,Chimaltenango,Empresario,1 A 2 Veces Por Semana,Aplicación de delivery,Otro,Q101 - Q150,Mundialitos Queso Picante; Fan Chips Jalapeño; Gol Nachos Supreme,Picante Chapín,Para Compartir Entre 2 Personas,Q16 - Q20,No,Sí,Estados Unidos,Probablemente sí,Uruguay,Lionel Messi; Christian Pulisic; Neymar Jr.,Una selección nacional,2x1,No,Edición Argentina,Sensible Al Precio,Casual,Jóvenes (<25)
52,2026-03-10,07:50:56,35 - 44 Años,Masculino,Sololá,Otro municipio,Empleado Privado,Rara Vez,Otro,Familia,Menos De Q25,FutbolMix,Salado Tradicional,Tamaño Fiesta O Reunión,Q21 - Q30,Sí,Sí,Portugal,Probablemente no,Argentina,Lionel Messi; Cristiano Ronaldo,Humor,Descuento directo,Sí,Edición Brasil,Moderada,Casual,Adulto Maduro (35-54)
53,2026-01-27,21:25:44,25 - 34 Años,Masculino,Sololá, OTRO MUNICIPIO ,Empleado Privado,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,FutbolMix; CrunchMax BBQ; Gol Nachos Supreme,Queso,Tamaño Fiesta O Reunión,Menos De Q10,Sí,Sí,Argentina,Probablemente sí,Brasil,Neymar Jr.; Jude Bellingham; Lamine Yamal,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Con Jugadores Famosos,Premium Alta,Fanático Target (Alto),Adulto Joven (25-34)
54,2026-02-04,18:07:03,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Profesional Independiente,1 A 2 Veces Por Semana,Tienda de barrio,Familia,Más De Q150,CrunchMax BBQ; Gol Nachos Supreme,Queso,Individual,Q16 - Q20,No,Sí,Francia,Probablemente sí,Brasil,Kylian Mbappé,Humor,Sorteo de balones,No,Edición Argentina,Sensible Al Precio,Casual,Jóvenes (<25)
55,2026-01-19,08:12:58,25 - 34 Años,Femenino,Quetzaltenango,,Comerciante,Rara Vez,Gasolinera,Compañeros de trabajo,Q51 - Q100,Victory Pretzels,Queso,Familiar,Q21 - Q30,Sí,Sí,México,Probablemente sí,Alemania,Federico Valverde; Vinícius Júnior; Ninguno,Un jugador famoso,Descuento directo,Sí,Edición Argentina,Premium Alta,Fanático Target (Alto),Adulto Joven (25-34)
56,2026-04-13,10:57:46,18 - 24 Años,Masculino,Escuintla,Escuintla,Estudiante,3 A 5 Veces Por Semana,Tienda de barrio,Familia,Q51 - Q100,Mundialitos Queso Picante,Caramelo,Familiar,Q10 - Q15,Sí,Sí,Brasil,Definitivamente sí,México,Lionel Messi; Neymar Jr.; Vinícius Júnior,Humor,Descuento directo,Sí,Edición Con Jugadores Famosos,Premium Alta,Casual,Jóvenes (<25)
57,2026-03-31,22:19:16,55 Años O Más,Femenino,Guatemala,Mixco,Comerciante,Varias Veces Al Mes,Gasolinera,Familia,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante; Gol Nachos Supreme,Queso,Para Compartir Entre 2 Personas,Q10 - Q15,No,Sí,Estados Unidos,Tal vez,Brasil,Neymar Jr.; Federico Valverde,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Con Tarjetas Coleccionables,Moderada,Casual,Adulto Mayor (55+)
58,2026-03-30,19:18:16,25 - 34 Años,Masculino,Quetzaltenango,Coatepeque,Empresario,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; ChocoKick Bites; Gol Nachos Supreme,Picante Chapín,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,Uruguay,Tal vez,Brasil,Neymar Jr.; Harry Kane; Lamine Yamal,Un jugador famoso,Producto gratis,Sí,Edición Argentina,Moderada,Casual,Adulto Joven (25-34)
